datetime,SYM_H
2015-05-11 06:40:00,-37
2015-05-11 06:45:00,-38
2015-05-11 06:50:00,-39
2015-05-11 06:55:00,-38
2015-05-11 07:00:00,-37
2015-05-11 07:05:00,-33
2015-05-11 07:10:00,-33
2015-05-11 07:15:00,-33
2015-05-11 07:20:00,-31
2015-05-11 07:25:00,-30
2015-05-11 07:30:00,-28
2015-05-11 07:35:00,-28
2015-05-11 07:40:00,-29
2015-05-11 07:45:00,-28
2015-05-11 07:50:00,-26
2015-05-11 07:55:00,-27
2015-05-11 08:00:00,-28
2015-05-11 08:05:00,-29
2015-05-11 08:10:00,-29
2015-05-11 08:15:00,-28
2015-05-11 08:20:00,-27
2015-05-11 08:25:00,-27
2015-05-11 08:30:00,-26
2015-05-11 08:35:00,-25
2015-05-11 08:40:00,-25
2015-05-11 08:45:00,-27
2015-05-11 08:50:00,-29
2015-05-11 08:55:00,-28
2015-05-11 09:00:00,-25
2015-05-11 09:05:00,-26
2015-05-11 09:10:00,-29
2015-05-11 09:15:00,-28
2015-05-11 09:20:00,-27
2015-05-11 09:25:00,-27
2015-05-11 09:30:00,-27
2015-05-11 09:35:00,-27
2015-05-11 09:40:00,-27
2015-05-11 09:45:00,-28
2015-05-11 09:50:00,-28
2015-05-11 09:55:00,-29
2015-05-11 10:00:00,-29
2015-05-11 10:05:00,-28
2015-05-11 10:10:00,-29
2015-05-11 10:15:00,-29
2015-05-11 10:20:00,-29
2015-05-11 10:25:00,-30
2015-05-11 10:30:00,-32
2015-05-11 10:35:00,-32
2015-05-11 10:40:00,-31
2015-05-11 10:45:00,-31
2015-05-11 10:50:00,-30
2015-05-11 10:55:00,-30
2015-05-11 11:00:00,-30
2015-05-11 11:05:00,-29
2015-05-11 11:10:00,-29
2015-05-11 11:15:00,-29
2015-05-11 11:20:00,-30
2015-05-11 11:25:00,-32
2015-05-11 11:30:00,-32
2015-05-11 11:35:00,-33
2015-05-11 11:40:00,-33
2015-05-11 11:45:00,-33
2015-05-11 11:50:00,-33
2015-05-11 11:55:00,-32
2015-05-11 12:00:00,-31
2015-05-11 12:05:00,-31
2015-05-11 12:10:00,-31
2015-05-11 12:15:00,-30
2015-05-11 12:20:00,-31
2015-05-11 12:25:00,-31
2015-05-11 12:30:00,-30
2015-05-11 12:35:00,-29
2015-05-11 12:40:00,-29
2015-05-11 12:45:00,-30
2015-05-11 12:50:00,-30
2015-05-11 12:55:00,-30
2015-05-11 13:00:00,-29
2015-05-11 13:05:00,-28
2015-05-11 13:10:00,-28
2015-05-11 13:15:00,-29
2015-05-11 13:20:00,-30
2015-05-11 13:25:00,-30
2015-05-11 13:30:00,-31
2015-05-11 13:35:00,-31
2015-05-11 13:40:00,-29
2015-05-11 13:45:00,-28
2015-05-11 13:50:00,-27
2015-05-11 13:55:00,-26
2015-05-11 14:00:00,-25
2015-05-11 14:05:00,-25
2015-05-11 14:10:00,-25
2015-05-11 14:15:00,-25
2015-05-11 14:20:00,-24
2015-05-11 14:25:00,-25
2015-05-11 14:30:00,-25
2015-05-11 14:35:00,-26
2015-05-11 14:40:00,-26
2015-05-11 14:45:00,-26
2015-05-11 14:50:00,-27
2015-05-11 14:55:00,-28
2015-05-11 15:00:00,-28
2015-05-11 15:05:00,-28
2015-05-11 15:10:00,-29
2015-05-11 15:15:00,-30
2015-05-11 15:20:00,-30
2015-05-11 15:25:00,-30
2015-05-11 15:30:00,-30
2015-05-11 15:35:00,-30
2015-05-11 15:40:00,-31
2015-05-11 15:45:00,-31
2015-05-11 15:50:00,-30
2015-05-11 15:55:00,-30
2015-05-11 16:00:00,-31
2015-05-11 16:05:00,-32
2015-05-11 16:10:00,-33
2015-05-11 16:15:00,-34
2015-05-11 16:20:00,-33
2015-05-11 16:25:00,-35
2015-05-11 16:30:00,-33
2015-05-11 16:35:00,-32
2015-05-11 16:40:00,-31
2015-05-11 16:45:00,-30
2015-05-11 16:50:00,-31
2015-05-11 16:55:00,-30
2015-05-11 17:00:00,-31
2015-05-11 17:05:00,-30
2015-05-11 17:10:00,-29
2015-05-11 17:15:00,-29
2015-05-11 17:20:00,-28
2015-05-11 17:25:00,-28
2015-05-11 17:30:00,-27
2015-05-11 17:35:00,-28
2015-05-11 17:40:00,-29
2015-05-11 17:45:00,-29
2015-05-11 17:50:00,-27
2015-05-11 17:55:00,-27
2015-05-11 18:00:00,-29
2015-05-11 18:05:00,-30
2015-05-11 18:10:00,-31
2015-05-11 18:15:00,-33
2015-05-11 18:20:00,-35
2015-05-11 18:25:00,-34
2015-05-11 18:30:00,-32
2015-05-11 18:35:00,-32
2015-05-11 18:40:00,-32
